,Names,Values
1314,henrioncaude,8
1315,criquioche,2
1316,borloo,9
1317,lacombe,16
1318,murraciole,8
1319,lagola,6
1320,favilale,3
1321,prudenceun,2
1322,parwan,4
1323,parsonsdebut,2
1324,silvestri,2
1325,finkielkraut,49
1326,crepey,9
1327,lydia,3
1328,dandrieu,26
1329,debord,18
1330,yavar,12
1331,bakawan,11
1332,cuvillier,2
1333,benayoum,5
1334,goldmann,4
1335,hancock,2
1336,vallance,6
1337,commeine,3
1338,whalen,12
1339,catherine,9
1340,tettamanzi,2
1341,benassyquere,4
1342,ifrak,24
1343,bortolussi,3
1344,tanguy,13
1345,chudzik,3
1346,coignard,2
1347,charriere,24
1348,anizon,3
1349,fourtillan,3
1350,drouiche,3
1351,fremont,9
1352,taoualit,2
1353,cigolotti,3
1354,bismuth,2
1355,goldnadel,11
1356,herzog,6
1357,azibert,11
1358,mouraud,15
1359,matvienko,7
1360,aldhibi,2
1361,tarrade,3
1362,lecointre,17
1363,soljenitsyne,3
1364,cavanagh,2
1365,celoro,6
1366,kneissl,4
1367,melun,8
1368,trevidic,8
1369,akesbi,4
1370,melanie,11
1371,axelle,9
1372,chabbouh,31
1373,zelensky,95
1374,oppelt,9
1375,chabert,4
1376,lumumba,7
1377,quatieri,2
1378,monguillot,8
1379,ntiwiragabo,8
1380,maplecroft,4
1381,lucette,2
1382,halimi,60
1383,jackson,7
1384,soukaina,3
1385,chereau,7
1386,bendaoud,4
1387,chaimovitch,4
1388,plenel,9
1389,ulfianajeune,2
1390,laizansparticipants,2
1391,privalov,2
1392,timkiv,14
1393,druzhinin,12
1394,choigou,21
1395,jouravlev,5
1396,baltasspectateurs,2
1397,rossignolmusiciens,2
1398,becerril,2
1399,abramov,6
1400,millspendant,2
1401,preparatifs,2
1402,madougou,9
1403,freihold,2
1404,picquart,24
1405,arhab,4
1406,raponda,2
1407,dulas,14
1408,shingiro,2
1409,middlemiss,3
1410,issekin,6
1411,fochive,2
1412,dongmin,2
1413,baptiste,4
1414,callamard,16
1415,beigbeder,2
1416,philtre,2
1417,frederic,12
1418,djilali,4
1419,karamoko,5
1420,bekolo,7
1421,ginolin,7
1422,cheuzeville,7
1423,echtchenko,4
1424,sokolov,36
1425,provenzano,2
1426,redouani,14
1427,simoncini,3
1428,traimond,2
1429,arrondo,2
1430,missourkine,2
1431,griffon,6
1432,mpoupard,5
1433,beauharnais,2
1434,perisic,5
1435,vucic,14
1436,danjean,2
1437,carbonnel,6
1438,squillaci,2
1439,kabore,48
1440,benedetti,20
1441,rigail,2
1442,matzneff,5
1443,quatremer,5
1444,amable,7
1445,salmane,29
1446,deliveroo,22
1447,thircuir,2
1448,mikhail,6
1449,stepanian,4
1450,chirac,203
1451,teissier,4
1452,squarcini,2
1453,scipion,5
1454,sarrazin,6
1455,galacteros,13
1456,brakni,4
1457,jupiter,2
1458,raviot,15
1459,buzzanca,2
1460,nogueira,4
1461,gleut,2
1462,silvamannequins,2
1463,zeynalovmaison,2
1464,augsteinhomme,2
1465,geichas,2
1466,platiaufeu,10
1467,fidele,7
1468,husseinmanifestant,2
1469,osorioterrasse,2
1470,padalko,2
1471,chesnokova,8
1472,kudenko,10
1473,fedosenkoparticipants,2
1474,bogodvid,8
1475,zvulunparticipants,2
1476,sajjadenfants,2
1477,wangenfant,2
1478,beschizza,2
1479,taibi,13
1480,pandelon,5
1481,ajroudi,7
1482,boniface,7
1483,blaise,12
1484,tchumtchoua,8
1485,cabana,3
1486,mpeju,3
1487,belliard,4
1488,hetzel,14
1489,lignotleloup,2
1490,vanlerenberghe,2
1491,nezha,2
1492,cazeneuve,6
1493,cherfaoui,9
1494,berthelot,12
1495,yarmysh,2
1496,sanogo,4
1497,browning,5
1498,vge,13
1499,delpey,2
1500,foccart,2
1501,gouverner,2
1502,metge,9
1503,mkrasilnikov,6
1504,barrosla,2
1505,souzales,2
1506,boudiaf,11
1507,boumaarafi,2
1508,mechri,2
1509,watani,8
1510,ouattaramacron,2
1511,guillaume,33
