,Names,Values
1234,heusgen,2
1235,giesbert,9
1236,mujica,5
1237,quatremer,4
1238,annelorraine,3
1239,poullennec,5
1240,prosor,2
1241,lazaar,2
1242,radjavi,3
1243,ruggieri,2
1244,bakounine,14
1245,network,12
1246,touraine,7
1247,copycomic,9
1248,clostermann,2
1249,cambadelis,2
1250,collomb,8
1251,nunezbelda,2
1252,djouhri,2
1253,giovanetti,2
1254,buisine,2
1255,malvaes,9
1256,venries,2
1257,wauquiez,4
1258,anneelisabeth,6
1259,battisti,2
1260,nemmouche,8
1261,laquay,3
1262,bendrer,2
1263,mahomet,16
1264,schiffman,2
1265,quatennens,2
1266,misrachi,2
1267,ribery,8
1268,poitiers,4
1269,andrieux,5
1270,ludosky,3
1271,chopin,3
1272,gattolin,3
1273,szpiner,3
1274,nucci,2
1275,duque,2
1276,babeau,3
1277,leetchi,2
1278,bornstein,2
1279,mouraud,7
1280,destaing,7
1281,creuzot,3
1282,usmani,4
1283,gorbatchev,2
1284,eltsine,2
1285,premier,2
1286,ennasri,2
1287,rentzhog,2
1288,rhazoui,20
1289,morgane,4
1290,cantat,4
1291,devige,2
1292,mahjoubi,4
1293,tribalat,8
1294,anquetil,4
1295,poulidor,8
1296,poupou,2
1297,merckx,3
1298,astruc,2
1299,molmy,5
1300,donald,14
1301,rohani,9
1302,cristina,3
1303,wright,4
1304,lelandais,4
1305,bigot,27
1306,sokolov,7
1307,echtchenko,2
1308,dubosc,4
1309,bussiere,2
1310,hazanavicius,2
1311,aiphan,12
1312,barbetta,3
1313,stephane,2
1314,chabbouh,3
1315,dujardin,4
1316,seigner,2
1317,tamikka,2
1318,shumway,3
1319,raveaud,3
1320,valentine,5
1321,historica,2
1322,chatila,3
1323,ecopla,3
1324,cavusoglu,3
1325,ndiaye,13
1326,coquerel,3
1327,kharief,5
1328,trapenard,2
1329,schnapper,2
1330,schwartz,2
1331,atzmon,5
1332,varela,2
1333,negre,2
1334,lafargue,2
1335,heilbronn,2
1336,consistoire,2
1337,chiche,11
1338,joseph,4
1339,tsurkov,4
1340,choigou,6
1341,lieberman,2
1342,lavrentiev,2
1343,verchinine,2
1344,glazyev,2
1345,penicaud,2
1346,factuel,2
1347,tomer,9
1348,lecaplain,2
1349,patrouchev,2
1350,szafran,4
1351,poirot,9
1352,christiane,3
1353,mayouri,2
1354,chesnaisgirard,3
1355,helloco,2
1356,chavanier,2
1357,haendel,3
1358,noiriel,5
1359,dompnier,2
1360,general,11
1361,sebastien,2
1362,bourdillon,7
1363,stivala,13
1364,vikash,3
1365,gomart,2
1366,bardeche,4
1367,thuram,8
1368,spire,4
1369,pauleemma,6
1370,berruyer,8
1371,vanhemelryck,2
1372,goebbels,9
1373,isabelle,8
1374,balkany,24
1375,canico,2
1376,croizat,2
1377,timothy,3
1378,beljanski,15
1379,pereira,6
1380,rauwolfia,5
1381,abott,2
1382,jospin,15
1383,kamto,3
1384,ballmer,2
1385,clavairoly,2
1386,juncker,4
1387,youssef,11
1388,benlagha,2
1389,kuzmanovic,6
1390,garderes,2
1391,thomson,4
1392,balladur,4
1393,colombani,2
1394,roselyne,3
1395,eschenbach,2
1396,theophraste,3
1397,saussure,5
1398,caputova,3
1399,kotleba,2
1400,bijoux,2
1401,rebatet,2
1402,hercule,2
1403,gattegno,2
1404,netino,2
1405,pujadas,2
1406,domi,2
1407,gluxi,4
1408,daeninckx,3
1409,jeanedern,2
1410,mestre,8
1411,xiaobo,7
1412,gouasmi,3
1413,antisemitisme,4
1414,askolovitch,4
1415,goldstein,2
1416,seinfeld,2
1417,gainsbarre,2
1418,turchi,6
1419,wermus,2
1420,mattis,4
1421,mcgurk,2
1422,lavrov,11
1423,moscovici,7
1424,smith,4
1425,filaret,7
1426,bartolome,6
1427,epiphanius,5
1428,poroshenko,3
1429,publico,2
1430,abouyaaqoub,2
1431,rackete,7
1432,arkhipova,2
1433,rabbani,2
1434,fernandez,4
1435,noble,2
1436,telleldin,2
1437,alyot,5
1438,villani,7
1439,benji,5
1440,temime,2
1441,armstrong,3
1442,kraepelin,2
1443,vinokourov,2
1444,bandera,3
1445,semenyaka,5
1446,dmytro,3
1447,steuckers,2
1448,nychtchouk,3
1449,jesuschrist,2
1450,kolomoisky,2
1451,dontsov,4
1452,yaroch,5
1453,parvulesco,3
1454,paroubiy,3
1455,fuhrer,2
1456,aliagas,2
1457,kruger,2
1458,benomar,4
1459,mossadegh,4
1460,benelhadj,4
1461,leonetticlaeys,4
1462,leonetti,2
1463,mellouk,2
1464,bencherif,2
1465,cummings,2
1466,bette,2
1467,rafenberg,2
1468,zittoun,2
1469,lagasnerie,3
1470,flandrin,2
1471,bhang,2
1472,danielou,3
1473,osho,3
1474,kennedy,14
1475,oswald,2
1476,zapruder,2
1477,lindbergh,5
1478,monte,2
1479,esti,2
1480,malherbe,2
1481,champenois,2
1482,wilfrid,2
1483,monguillot,5
1484,appleby,2
1485,majeste,2
1486,spectaculaires,2
1487,belges,2
1488,mathieu,4
1489,derek,2
1490,zadi,2
1491,antipapillomavirus,2
1492,teinturier,3
1493,silvestrik,2
1494,pavlenski,13
1495,careme,9
1496,morawiecki,2
1497,kuciak,2
1498,kusnirova,2
1499,margolin,2
1500,ulrich,6
1501,proust,3
1502,swann,3
1503,zellweger,2
1504,garland,2
1505,joachin,2
1506,leyne,15
1507,fenwick,2
1508,landru,9
1509,badinter,26
1510,holeindre,19
1511,nabilla,7
1512,cocteau,2
1513,kemmerich,2
1514,girardin,2
1515,ncov,4
1516,burgat,10
1517,confavreux,3
1518,bensaid,5
1519,cremieux,4
1520,necker,4
1521,dhersin,3
1522,howroute,2
1523,cruz,7
1524,taylorjoy,2
1525,pouille,2
1526,cohenwatnick,2
1527,winternitz,2
1528,bristielle,4
1529,zizek,2
1530,gosselin,2
1531,murphy,2
1532,quebec,3
1533,giuliani,19
1534,gantz,2
1535,meadows,3
1536,shapiro,5
1537,durpaire,3
1538,kerrouche,4
1539,sancho,3
1540,mcenany,5
1541,axios,3
1542,okeefe,5
1543,hopkins,3
1544,hannity,4
1545,massinissa,2
1546,jugurtha,2
1547,pachinian,2
1548,aliev,2
